Id,Label,rank_class,translations,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,Location,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,pageranks,eigencentrality,modularity_class,chin_rc,engl_rc
99,各道監察御史,55,Investigating Censor,0,0,0,5,"0,393258","0,53381",Beijing,"3376,511027",10,17,27,"0,017411","0,133134",0,從五品,5b
98,鴻臚寺少卿,55,Vice Minister of the Court of State Ceremonial,0,0,0,5,"0,439394","0,59023",Beijing,"1514,809959",5,13,18,"0,002218","0,018498",0,從五品,5b
63,光祿寺卿,35,Chief Minister of the Court of Imperial Entertainments,0,0,0,3,"0,607143","0,735294",Beijing,"902,977777",16,15,31,"0,014998","0,460605",0,從三品,3b
64,太僕寺卿,35,Chief Minister of the Court of the Imperial Stud,0,0,0,3,"0,607143","0,735294",Beijing,"902,977777",16,15,31,"0,014998","0,460605",0,從三品,3b
66,通政使司副使,40,Vice Commissioner of the Office of Transmission,0,0,0,4,"0,513514","0,653509",Beijing,"831,088505",22,10,32,"0,016567","0,333575",0,正四品,4a
67,大理寺少卿,40,Vice Minister of the Court of Judicial Review,0,0,0,4,"0,513514","0,653509",Beijing,"831,088505",21,10,31,"0,016567","0,333575",0,正四品,4a
73,各省道員,40,Circuit Intendant,0,0,0,5,"0,373494","0,48172",Provinces,"667,417213",8,7,15,"0,019516","0,098143",0,正四品,4a
77,内閣侍讀學士,45,Reader-in-waiting of the Grand Secretariat,0,0,0,4,"0,428571","0,519841",Beijing,"614,237877",14,7,21,"0,007584","0,090014",0,從四品,4b
45,吏部侍郎,20,Vice Minister of Personnel,0,0,0,2,"0,666667","0,75",Beijing,"471,045161",14,3,17,"0,021022",1,0,正二品,2a
47,戸禮兵刑工五部侍郎,20,Vice Minister (except Personnel),0,0,0,2,"0,7","0,785714",Beijing,"471,045161",12,5,17,"0,017338","0,868409",0,正二品,2a
44,六部侍郎,20,Vice Minister,0,0,0,2,"0,75","0,833333",Beijing,"467,199254",7,4,11,"0,011202","0,468293",0,正二品,2a
68,太常寺少卿,40,Vice Minister of the Court of Imperial Sacrifices,0,0,0,4,"0,428571","0,519841",Beijing,"415,522595",20,6,26,"0,007693","0,154599",0,正四品,4a
69,鴻臚寺卿,40,Chief Minister of the Court of State Ceremonial,0,0,0,4,"0,428571","0,519841",Beijing,"415,522595",20,6,26,"0,007693","0,154599",0,正四品,4a
70,太僕寺少卿,40,Vice Minister of the the Court of the Imperial Stud,0,0,0,4,"0,428571","0,519841",Beijing,"415,522595",20,6,26,"0,007693","0,154599",0,正四品,4a
91,六部郎中,50,Department Director in the Six Ministries,0,0,0,5,"0,358491","0,423684",Beijing,"364,766675",4,6,10,"0,013189","0,108915",0,正五品,5a
71,順天府府丞,40,Vice Governor of Shuntian Prefecture,0,0,0,4,"0,428571","0,519841",Beijing,"332,062174",18,6,24,"0,004799","0,134974",0,正四品,4a
72,奉天府府丞,40,Vice Governor of Fengtian Prefecture,0,0,0,4,"0,428571","0,519841",Beijing,"332,062174",18,6,24,"0,004799","0,134974",0,正四品,4a
59,各省按察使,30,Provincial Surveillance Commissioner,0,0,0,5,"0,385965","0,471212",Beijing,"330,286502",4,4,8,"0,0181","0,02866",0,正三品,3a
89,六科給事中,50,Supervising Censor in the Six Offices of Scrutiny,0,0,0,5,"0,395349","0,54951",Beijing,"247,422222",2,19,21,"0,002233","0,024145",0,正五品,5a
65,各省鹽運使,35,Provincial Salt Controller,0,0,0,6,"0,2875","0,335507",Beijing,"224,619894",2,2,4,"0,017145","0,063817",0,從三品,3b
54,宗人府府丞,30,Associate Director of the Imperial Clan Court,0,0,0,3,"0,578947","0,666667",Beijing,"206,391099",12,5,17,"0,010411","0,542356",0,正三品,3a
55,通政使司通政使,30,Commissioner of the Office of Transmission,0,0,0,3,"0,578947","0,666667",Beijing,"206,391099",12,5,17,"0,010411","0,542356",0,正三品,3a
56,大理寺卿,30,Chief Minister of the Court of Judicial Review,0,0,0,3,"0,578947","0,666667",Beijing,"206,391099",12,5,17,"0,010411","0,542356",0,正三品,3a
42,都察院左都御史,15,Left Censor-in-Chief of the Censorate,0,0,0,1,1,1,Beijing,"165,858428",3,7,10,"0,012774","0,350601",0,從一品,1b
100,翰林院侍講,55,Expositor of the Hanlin Academy,0,0,0,4,"0,529412","0,659722",Beijing,"152,084225",11,18,29,"0,001941","0,03362",0,從五品,5b
43,六部尚書,15,Minister,0,0,0,1,1,1,Beijing,"111,733029",3,1,4,"0,012565","0,328319",0,從一品,1b
146,翰林院編修,70,Compiler at the Hanlin Academy,0,0,0,5,"0,386861","0,459748",Beijing,106,2,9,11,"0,002033","0,003045",0,正七品,7a
51,各省布政使,25,Provincial Administration Commissioner,0,0,0,4,"0,44186","0,539474",Beijing,"98,812426",2,5,7,"0,005885","0,00683",0,從二品,2b
57,順天府府尹,30,Governor of Shuntian Prefecture,0,0,0,3,"0,583333","0,714286",Beijing,"90,610853",10,11,21,"0,00755","0,401251",0,正三品,3a
58,奉天府府尹,30,Governor of Fengtian Prefecture,0,0,0,3,"0,56","0,678571",Beijing,"83,108863",10,10,20,"0,00755","0,401251",0,正三品,3a
85,通政使司叅議,50,Consultant of the Office of Transmission,0,0,0,5,"0,421875","0,559877",Beijing,"82,105865",9,14,23,"0,006093","0,073444",0,正五品,5a
86,光祿寺少卿,50,Vice Minister of the Court of Imperial Entertainments,0,0,0,5,"0,430769","0,575595",Beijing,"82,105865",7,11,18,"0,005567","0,059109",0,正五品,5a
49,内閣學士,25,Academician Of the Grand Secretariat,0,0,0,3,"0,588235","0,683333",Beijing,"60,631568",13,5,18,"0,002117","0,194503",0,從二品,2b
50,翰林院掌院學士,25,Chancellor of the Hanlin Academy,0,0,0,3,"0,588235","0,683333",Beijing,"60,631568",12,5,17,"0,002117","0,194503",0,從二品,2b
80,翰林院侍講學士,45,Expositor-in-waiting of the Hanlin Academy,0,0,0,4,"0,553191","0,689103",Beijing,"60,175656",12,16,28,"0,001786","0,093484",0,從四品,4b
61,詹事府詹事,30,Supervisor of the Household of the Heir Apparent,0,0,0,3,"0,510204","0,586667",Beijing,"56,986404",11,7,18,"0,001854","0,159496",0,正三品,3a
161,翰林院檢討,75,Examining Editor of the Hanlin Academy,0,0,0,5,"0,386861","0,459748",Beijing,53,1,9,10,"0,001393","0,001523",0,從七品,7b
60,都察院左副都御史,30,Left Vice Censor-in-chief of the Censorate,0,0,0,3,"0,588235","0,683333",Beijing,"48,940641",10,5,15,"0,012458","0,591282",0,正三品,3a
132,翰林院修撰,65,Senior Compiler of the Hanlin Academy,0,0,0,5,"0,380531","0,456202",Beijing,43,1,7,8,"0,001393","0,001523",0,從六品,6b
90,右春坊右庶子,50,Right Mentor of the Right Secretariat of the Heir Apparent,0,0,0,4,"0,54717","0,66954",Beijing,"42,904083",10,15,25,"0,001577","0,062153",0,正五品,5a
53,太常寺卿,30,Chief Minister of the Court of Imperial Sacrifices,0,0,0,3,"0,56","0,678571",Beijing,"42,444844",12,9,21,"0,009274","0,432888",0,正三品,3a
101,司經局洗馬,55,Librarian of Editorial Service in the Household of the Heir Apparent,0,0,0,5,"0,432099","0,560476",Beijing,"35,513472",11,11,22,"0,001941","0,03362",0,從五品,5b
135,右春坊右贊善,65,Right Admonisher in the Right Secretariat of the Heir Apparent,0,0,0,5,"0,460674","0,600407",Beijing,"34,973013",6,17,23,"0,001475","0,007844",0,從六品,6b
81,國子監祭酒,45,Chancellor of the Directorate of Education,0,0,0,4,"0,481481","0,580128",Beijing,"32,614808",12,11,23,"0,001786","0,093484",0,從四品,4b
118,右春坊右中允,60,Right Companion in the Right Secretariat of the Heir Apparent,0,0,0,5,"0,448276","0,579915",Beijing,"29,473013",6,14,20,"0,00163","0,015817",0,正六品,6a
114,國子監司業,60,Director of the Studies of the Directorate of Education,0,0,0,5,"0,44186","0,56886",Beijing,"24,473013",6,13,19,"0,001475","0,007844",0,正六品,6a
76,翰林院侍讀學士,45,Reader-in-waiting of the Hanlin Academy,0,0,0,4,"0,543478","0,676667",Beijing,"21,509583",4,11,15,"0,001364","0,092858",0,從四品,4b
48,各省巡撫,25,Provincial Governor,0,0,0,1,1,1,Provinces,"12,710424",12,2,14,"0,007539","0,316219",0,從二品,2b
74,詹事府少詹事,40,Junior Supervisor of the Household of the Heir Apparent,0,0,0,4,"0,471698","0,563333",Beijing,"8,753014",11,9,20,"0,001769","0,140189",0,正四品,4a
82,左春坊左庶子,50,Left Mentor of the Left Secretariat of the Heir Apparent,0,0,0,4,"0,528302","0,639881",Beijing,"8,247291",3,10,13,"0,00114","0,045017",0,正五品,5a
