Dice,Position,Translation,Category (etic),Average number of hops until retirement (with purchase),Average number of hops until retirement (without purchase),Average effective money (with purchase),Average effective money (without purchase) ,"Average final rank (1a = 19, unclassed = 1)", Average final rank (without purchase)
3456,P1-蔭生,Honorary Licentiate,Hereditary privilege,25.3,31.2,7,19.6,18.1,17.9
T3,P7-筆帖式,Banner clerk,Hereditary privilege/Manchu,26.7,37.6,43.3,40.5,17.8,18.2
D5,P12-官學生,Student of the Banner School,Hereditary privilege/Manchu,27.8,38.1,27.8,36.9,18.1,18.1
1144,P2-軍功,Military Merit,Patronage,25.4,35.8,-41.8,-11.1,17.9,17.7
T5,P5-保舉,Recommendation,Patronage,24.7,35.1,6.6,-8.2,17.9,17.8
DxDx,P3-貢生,"Senior Licentiate, Tribute Student",Examination,25.5,36.4,0,7.5,18,17.8
D4,P10-生員,Licentiate,Examination,25.4,36.4,-3.6,10.5,17.8,17.8
D6,P11-監生,Imperial Academy Collegian,Examination,25.3,36.1,25.3,3.4,17.9,17.8
D1 ,P15-童生,Student,Examination,25.6,38,0.6,-11,17.9,17.7
T4,P4-恩賞,Imperial Grant,Royal Grace,27.4,28.9,28.7,22.6,17.7,17.8
T6,P6-詞科,Graduate of Grace Palace Examination,Royal Grace,26.5,33.5,-3.8,31.2,18.2,17.9
T2,P8-天文生,Student of Astronomy,Incipient professionalism,26.8,37.1,-8.5,-22.2,17.8,17.6
T1,P9-醫士,Student of Medicine,Incipient professionalism,26.3,29.8,-8.5,18.2,17.8,17
D3,P13-供事,Senior Clerk,Incipient professionalism,26.4,39.1,-3.5,-27.2,17.9,17.6
D2,P14-吏員,Clerk,Incipient professionalism,26.4,39.9,-2.8,-31.8,17.9,17.6
