Id,Label,department,type,type2,posid,rankint,ranktrad,location,trsl,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,eigencentrality,clustering
141,巡撫,撫院,Ranked,NA,C27-撫院 : P173-巡撫,17,2a,provinces,Provincial Governor,54,14,68,76,14,90,15,"0,132196","0,152233","1017644,879111","0,002532",0,"0,137165","0,018648"
299,檢討,翰林院,Ranked,NA,C56-翰林院 : P347-檢討,6,7b,Court,Examining Editor of Hanlin Academy,16,8,24,19,8,27,15,"0,124251","0,141441","1003406,962786","0,000502",0,"0,044983","0,05848"
175,右侍郎,禮部,Ranked,NA,C35-禮部 : P215-右侍郎,17,2a,Beijing,Right Vice Minister of Rites,54,13,67,64,13,77,18,"0,107896","0,128685","700961,915837","0,002229",0,"0,140739","0,03497"
306,內閣學士,內閣,Ranked,NA,C57-內閣 : P354-內閣學士,16,2b,Court,Academician Of Grand Secretariat,69,13,82,73,13,86,13,"0,131109","0,151739","476117,396278","0,002686",0,"0,191368","0,032301"
173,尚書,禮部,Ranked,NA,C35-禮部 : P213-尚書,18,1b,Beijing,Minister of Rites,42,15,57,63,15,78,17,"0,10941","0,122831","373750,766499","0,001212",0,"0,094722","0,052411"
467,革留,處分,Performance,NA,NA,,NA,all,NA,1,4,5,1,7,8,16,"0,133893","0,143975","366698,721201","0,000204",0,"0,015647","0,25"
214,司業,國子監,Ranked,NA,C41-國子監 : P259-司業,9,6a,Beijing,Director of Studies of Directorate of Education,33,7,40,39,7,46,16,"0,115933","0,131486","366093,253158","0,000603",0,"0,055692","0,058321"
1617,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,2,3,1,3,4,16,"0,144606","0,154835","360929,673582","0,000093",0,"0,002293","0,5"
4858,軍臺,處分,Performance,NA,NA,,NA,all,NA,1,4,5,1,5,6,16,"0,15781","0,171017","360874,540248","0,00009",0,"0,001383","0,15"
213,祭酒,國子監,Ranked,NA,C41-國子監 : P258-祭酒,12,4b,Beijing,Chancellor of Directorate of Education,74,8,82,81,8,89,14,"0,122994","0,138779","307004,502036","0,001725",0,"0,15958","0,032132"
290,右贊善,詹事府,Ranked,NA,C55-詹事府 : P336-右贊善,8,6b,Court,Left Admonisher in Left Secretariat of Heir Apparent,17,7,24,25,7,32,16,"0,115939","0,131506","236794,591449","0,000522",0,"0,046096","0,097368"
296,侍講,翰林院,Ranked,NA,C56-翰林院 : P344-侍講,10,5b,Court,Expositor of Hanlin Academy,54,7,61,60,7,67,15,"0,117837","0,131634","215516,874234","0,00101",0,"0,101871","0,029341"
289,左贊善,詹事府,Ranked,NA,C55-詹事府 : P335-左贊善,8,6b,Court,Right Admonisher in Right Secretariat of Heir Apparent,7,7,14,10,7,17,16,"0,115933","0,131486","214914,408922","0,000595",0,"0,052523","0,136364"
295,侍讀,翰林院,Ranked,NA,C56-翰林院 : P343-侍讀,10,5b,Court,Reader of Hanlin Academy,40,7,47,43,7,50,15,"0,117831","0,131584","194276,953172","0,000851",0,"0,083514","0,040698"
284,左庶子,詹事府,Ranked,NA,C55-詹事府 : P330-左庶子,11,5a,Court,Left Mentor of Left Secretariat of Heir Apparent,50,7,57,57,7,64,15,"0,117837","0,131651","162548,179932","0,001258",0,"0,114137","0,044108"
293,侍讀學士,翰林院,Ranked,NA,C56-翰林院 : P341-侍讀學士,12,4b,Court,Reader-in-waiting of Hanlin Academy,49,7,56,54,7,61,14,"0,122769","0,137838","151252,737696","0,001136",0,"0,100014","0,035559"
531,革留,處分,Performance,NA,NA,,NA,all,NA,1,4,5,1,7,8,16,"0,120235","0,129048","145007,289858","0,000119",0,"0,011739","0,25"
4865,軍臺,處分,Performance,NA,NA,,NA,all,NA,1,4,5,1,5,6,14,"0,153913","0,166496","142710,289858","0,000082",0,"0,001371","0,15"
298,編修,翰林院,Ranked,NA,C56-翰林院 : P346-編修,7,7a,Court,Compiler at Hanlin Academy,14,8,22,20,8,28,15,"0,128295","0,145734","141404,727475","0,00041",0,"0,023089","0,065789"
1624,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,2,3,1,3,4,15,"0,135002","0,144671","141020,289858","0,000075",0,"0,002048","0,5"
283,少詹,詹事府,Ranked,NA,C55-詹事府 : P329-少詹,13,4a,Court,Junior Supervisor of Household of Heir Apparent,48,7,55,55,7,62,14,"0,122736","0,137694","130921,943031","0,001939",0,"0,163521","0,053469"
286,洗馬,詹事府,Ranked,NA,C55-詹事府 : P332-洗馬,10,5b,Court,Librarian of Editorial Service in Household of Heir Apparent,60,7,67,71,7,78,16,"0,110494","0,123609","125790,620107","0,001366",0,"0,131427","0,039683"
742,加級,大計,Performance,NA,NA,,NA,provinces,NA,22,5,27,24,6,30,13,"0,130428","0,148036","101801,775175","0,000526",0,"0,044386","0,078462"
533,太子少師,宮銜,Ranked,Honorific,NA,17,2a,Court,NA,33,11,44,37,12,49,8,"0,221321","0,259172","95401,226721","0,000873",0,"0,072738","0,038206"
282,正詹,詹事府,Ranked,NA,C55-詹事府 : P328-正詹,15,3a,Court,Supervisor of Household of Heir Apparent,64,7,71,68,7,75,14,"0,12145","0,139095","93704,894772","0,001971",0,"0,160246","0,042581"
285,右庶子,詹事府,Ranked,NA,C55-詹事府 : P331-右庶子,11,5a,Court,Right Mentor of Right Secretariat of Heir Apparent,34,7,41,40,7,47,15,"0,11787","0,131815","84614,674448","0,000889",0,"0,081019","0,060256"
1193,六品以下軍功,軍功,Performance,NA,NA,,NA,all,NA,1,6,7,1,6,7,16,"0,105699","0,116096","82337,974987","0,000103",0,"0,005794",0
725,加級,大計,Performance,NA,NA,,NA,provinces,NA,23,5,28,25,6,31,13,"0,130346","0,14777","73292,193901","0,000725",0,"0,052887","0,084046"
622,六品以上大考,大考,Performance,NA,NA,,NA,Beijing,NA,1,5,6,1,6,7,15,"0,113546","0,126086","67486,894068","0,000123",0,"0,008281","0,233333"
294,侍講學士,翰林院,Ranked,NA,C56-翰林院 : P342-侍講學士,12,4b,Court,Expositor-in-waiting of Hanlin Academy,19,7,26,23,7,30,15,"0,115548","0,12984","63609,947193","0,000587",0,"0,050595","0,088933"
288,右中允,詹事府,Ranked,NA,C55-詹事府 : P334-右中允,9,6a,Court,Right Companion in Right Secretariat of Heir Apparent,21,7,28,24,7,31,15,"0,116324","0,132034","62326,844827","0,000371",0,"0,033676","0,075499"
757,六品以下京察,京察,Performance,NA,NA,,NA,Beijing,NA,1,6,7,1,7,8,16,"0,119513","0,133744","59858,543274","0,000103",0,"0,005794","0,1"
297,修撰,翰林院,Ranked,NA,C56-翰林院 : P345-修撰,8,6b,Court,Senior Compiler of Hanlin Academy,4,7,11,7,7,14,16,"0,116335","0,131029","57372,955132","0,00018",0,"0,006021","0,1"
541,樂部,禮部,Commission,NA,NA,,NA,Beijing,NA,29,5,34,31,6,37,18,"0,107711","0,126284","50594,146946","0,001004",0,"0,072518","0,072917"
287,左中允,詹事府,Ranked,NA,C55-詹事府 : P333-左中允,9,6a,Court,Left Companion in Left Secretariat of Heir Apparent,9,7,16,13,7,20,16,"0,110504","0,123669","37506,808562","0,000234",0,"0,017528","0,126374"
1016,一品二品軍功,軍功,Performance,NA,NA,,NA,all,NA,1,6,7,1,6,7,19,"0,098279","0,113224","32724,346369","0,000196",0,"0,015912",0
3197,保陞,大計,Performance,NA,NA,,NA,provinces,NA,1,5,6,1,5,6,15,"0,113621","0,126665","31975,382014","0,000064",0,"0,001628","0,2"
3063,內記名,大計,Performance,NA,NA,,NA,provinces,NA,1,4,5,1,5,6,15,"0,113512","0,12596","31969,865348","0,000064",0,"0,001628","0,2"
